Date,KEP_Monthly_Return
2012-12-31,13.85%
2012-11-30,-4.81%
2012-10-31,3.78%
2012-09-28,15.97%
2012-08-31,-3.08%
2012-07-31,-1.16%
2012-06-29,18.94%
2012-05-31,-1.05%
2012-04-30,-2.36%
2012-03-30,-12.74%
2012-02-29,-9.57%
2012-01-31,12.30%
2011-12-30,-1.08%
2011-11-30,0.63%
2011-10-31,29.76%
2011-09-30,-19.12%
2011-08-31,-13.00%
2011-07-29,-8.97%
2011-06-30,-3.42%
2011-05-31,13.55%
2011-04-29,-1.14%
2011-03-31,0.33%
2011-02-28,-4.16%
2011-01-31,-5.77%
2010-12-31,13.43%
2010-11-30,-9.84%
2010-10-29,2.17%
2010-09-30,5.04%
2010-08-31,-12.63%
2010-07-30,9.39%
2010-06-30,-4.45%
2010-05-28,-10.37%
2010-04-30,-7.39%
2010-03-31,0.68%
2010-02-26,-0.74%
2010-01-29,11.76%
2009-12-31,5.98%
2009-11-30,-1.15%
2009-10-30,-8.92%
2009-09-30,23.40%
2009-08-31,-7.63%
2009-07-31,16.26%
2009-06-30,0.17%
2009-05-29,7.49%
2009-04-30,16.72%
2009-03-31,19.92%
2009-02-27,-23.24%
2009-01-30,-14.38%
2008-12-31,24.84%
2008-11-28,-6.06%
2008-10-31,-20.10%
2008-09-30,-17.67%
2008-08-29,-5.64%
2008-07-31,9.77%
2008-06-30,-10.09%
2008-05-30,-1.64%
2008-04-30,9.24%
2008-03-31,-13.11%
2008-02-29,-14.01%
2008-01-31,-3.45%
2007-12-31,-1.09%
2007-11-30,-5.26%
2007-10-31,-3.89%
2007-09-28,2.75%
2007-08-31,-5.06%
2007-07-31,8.36%
2007-06-29,0.27%
2007-05-31,5.61%
2007-04-30,3.40%
2007-03-30,-4.94%
2007-02-28,-8.00%
2007-01-31,0.70%
2006-12-29,5.68%
2006-11-30,8.65%
2006-10-31,1.18%
2006-09-29,0.67%
2006-08-31,1.46%
2006-07-31,0.95%
2006-06-30,-6.55%
2006-05-31,-11.01%
2006-04-28,5.56%
2006-03-31,-2.75%
2006-02-28,-2.24%
2006-01-31,16.57%
2005-12-30,19.04%
2005-11-30,3.12%
2005-10-31,-7.79%
2005-09-30,10.34%
2005-08-31,-8.13%
2005-07-29,11.49%
2005-06-30,5.24%
2005-05-31,0.61%
2005-04-29,10.12%
2005-03-31,-4.00%
2005-02-28,1.38%
2005-01-31,4.31%
2004-12-31,-1.08%
2004-11-30,17.42%
2004-10-29,8.82%
2004-09-30,5.08%
2004-08-31,8.31%
2004-07-30,1.20%
2004-06-30,2.35%
2004-05-28,-4.69%
2004-04-30,-9.01%
2004-03-31,-0.10%
2004-02-27,2.89%
2004-01-30,-3.37%
2003-12-31,-5.75%
2003-11-28,4.88%
2003-10-31,3.14%
2003-09-30,13.98%
2003-08-29,1.76%
2003-07-31,1.80%
2003-06-30,-4.19%
2003-05-30,-1.27%
2003-04-30,18.05%
2003-03-31,-3.27%
2003-02-28,-0.72%
2003-01-31,-2.24%
