Date,ABX.TO_Monthly_Return
2012-12-31,0.96%
2012-11-30,-14.11%
2012-10-31,-1.68%
2012-09-28,8.08%
2012-08-31,15.76%
2012-07-31,-13.92%
2012-06-29,-5.52%
2012-05-31,2.07%
2012-04-30,-7.82%
2012-03-30,-8.43%
2012-02-29,-3.98%
2012-01-31,7.17%
2011-12-30,-14.62%
2011-11-30,10.14%
2011-10-31,0.20%
2011-09-30,-1.48%
2011-08-31,9.69%
2011-07-29,4.02%
2011-06-30,-5.60%
2011-05-31,-3.76%
2011-04-29,-4.11%
2011-03-31,-1.74%
2011-02-28,8.28%
2011-01-31,-10.64%
2010-12-31,0.40%
2010-11-30,7.97%
2010-10-29,3.30%
2010-09-30,-4.80%
2010-08-31,18.49%
2010-07-30,-12.54%
2010-06-30,9.45%
2010-05-31,0.12%
2010-04-30,13.68%
2010-03-31,-1.72%
2010-02-26,6.82%
2010-01-29,-10.47%
2009-12-31,-7.58%
2009-11-30,15.69%
2009-10-30,-3.90%
2009-09-30,7.31%
2009-08-31,0.43%
2009-07-31,-3.91%
2009-06-30,-5.37%
2009-05-29,20.45%
2009-04-30,-15.34%
2009-03-31,6.14%
2009-02-27,-16.67%
2009-01-30,3.20%
2008-12-31,18.53%
2008-11-28,37.79%
2008-10-31,-29.28%
2008-09-30,5.47%
2008-08-29,-14.78%
2008-07-31,-6.97%
2008-06-30,16.44%
2008-05-30,3.93%
2008-04-30,-13.75%
2008-03-31,-12.34%
2008-02-29,-1.18%
2008-01-31,24.01%
2007-12-31,3.62%
2007-11-30,-3.60%
2007-10-31,5.13%
2007-09-28,16.37%
2007-08-31,-2.03%
2007-07-31,13.11%
2007-06-29,-0.32%
2007-05-31,0.31%
2007-04-30,-5.43%
2007-03-30,-5.67%
2007-02-28,0.29%
2007-01-31,-2.87%
2006-12-29,0.25%
2006-11-30,3.26%
2006-10-31,1.22%
2006-09-29,-7.22%
2006-08-31,6.51%
2006-07-31,5.37%
2006-06-30,-1.87%
2006-05-31,-0.81%
2006-04-28,7.02%
2006-03-31,2.32%
2006-02-28,-13.03%
2006-01-31,10.15%
2005-12-30,4.45%
2005-11-30,5.09%
2005-10-31,-12.02%
2005-09-30,8.33%
2005-08-31,3.70%
2005-07-29,-1.96%
2005-06-30,7.11%
2005-05-31,1.62%
2005-04-29,-2.76%
2005-03-31,-5.23%
2005-02-28,12.92%
2005-01-31,-6.55%
2004-12-31,-0.45%
2004-11-30,5.78%
2004-10-29,3.76%
2004-09-30,1.14%
2004-08-31,3.46%
2004-07-30,-4.36%
2004-06-30,-6.83%
2004-05-31,9.47%
2004-04-30,-15.71%
2004-03-31,13.85%
2004-02-27,3.77%
2004-01-30,-10.47%
2003-12-31,2.77%
2003-11-28,11.47%
2003-10-31,0.87%
2003-09-30,-10.01%
2003-08-29,17.41%
2003-07-31,0.33%
2003-06-30,0.38%
2003-05-30,9.68%
2003-04-30,-5.92%
2003-03-31,-3.62%
2003-02-28,-4.26%
2003-01-31,3.08%
