Date,EWM_Monthly_Return
2021-09-30,-4.52%
2021-08-31,7.49%
2021-07-30,-3.33%
2021-06-30,-3.72%
2021-05-28,-1.44%
2021-04-30,2.58%
2021-03-31,-0.37%
2021-02-26,0.55%
2021-01-29,-6.08%
2020-12-31,3.86%
2020-11-30,9.35%
2020-10-30,-3.17%
2020-09-30,-1.28%
2020-08-31,-2.86%
2020-07-31,8.33%
2020-06-30,2.61%
2020-05-29,6.58%
2020-04-30,1.51%
2020-03-31,-8.91%
2020-02-28,-5.07%
2020-01-31,-5.89%
2019-12-31,4.65%
2019-11-29,-2.06%
2019-10-31,0.97%
2019-09-30,-0.25%
2019-08-30,-3.36%
2019-07-31,-2.83%
2019-06-28,2.12%
2019-05-31,-0.30%
2019-04-30,-0.77%
2019-03-29,-2.03%
2019-02-28,-0.65%
2019-01-31,3.33%
2018-12-31,0.73%
2018-11-30,-0.60%
2018-10-31,-6.52%
2018-09-28,-0.49%
2018-08-31,-1.60%
2018-07-31,5.97%
2018-06-29,-2.59%
2018-05-31,-6.85%
2018-04-30,-2.99%
2018-03-29,3.32%
2018-02-28,-1.77%
2018-01-31,8.01%
2017-12-29,5.19%
2017-11-30,1.87%
2017-10-31,-0.71%
2017-09-29,1.41%
2017-08-31,0.79%
2017-07-31,-0.06%
2017-06-30,0.50%
2017-05-31,0.66%
2017-04-28,3.97%
2017-03-31,3.36%
2017-02-28,0.96%
2017-01-31,4.06%
2016-12-30,0.12%
2016-11-30,-8.24%
2016-10-31,-1.60%
2016-09-30,-0.86%
2016-08-31,-0.37%
2016-07-29,-0.97%
2016-06-30,6.00%
2016-05-31,-7.37%
2016-04-29,-4.04%
2016-03-31,13.79%
2016-02-29,-3.45%
2016-01-29,4.78%
2015-12-31,-1.07%
2015-11-30,3.01%
2015-10-30,3.83%
2015-09-30,-2.75%
2015-08-31,-16.13%
2015-07-31,0.33%
2015-06-30,-4.45%
2015-05-29,-5.66%
2015-04-30,2.41%
2015-03-31,-2.06%
2015-02-27,4.63%
2015-01-30,-3.78%
2014-12-31,-5.70%
2014-11-28,-5.07%
2014-10-31,-0.19%
2014-09-30,-4.05%
2014-08-29,1.65%
2014-07-31,-0.57%
2014-06-30,0.77%
2014-05-30,0.75%
2014-04-30,1.60%
2014-03-31,2.09%
2014-02-28,4.29%
2014-01-31,-7.08%
2013-12-31,2.08%
2013-11-29,-0.69%
2013-10-31,5.45%
2013-09-30,4.16%
2013-08-30,-4.43%
2013-07-31,-2.83%
2013-06-28,-1.48%
2013-05-31,1.20%
2013-04-30,5.68%
2013-03-28,2.39%
2013-02-28,1.18%
2013-01-31,-4.49%
2012-12-31,3.99%
2012-11-30,-1.87%
2012-10-31,2.67%
2012-09-28,0.34%
2012-08-31,0.90%
2012-07-31,0.91%
2012-06-29,3.48%
2012-05-31,-4.34%
2012-04-30,-0.62%
2012-03-30,-0.48%
2012-02-29,3.97%
2012-01-31,5.30%
2011-12-30,-1.40%
2011-11-30,1.15%
2011-10-31,13.86%
