Date,EWS_Monthly_Return
2021-09-30,-1.43%
2021-08-31,-1.66%
2021-07-30,1.08%
2021-06-30,-2.33%
2021-05-28,0.63%
2021-04-30,2.18%
2021-03-31,6.12%
2021-02-26,2.46%
2021-01-29,0.28%
2020-12-31,3.25%
2020-11-30,17.30%
2020-10-30,-3.69%
2020-09-30,-1.78%
2020-08-31,2.31%
2020-07-31,-0.75%
2020-06-30,4.11%
2020-05-29,-1.51%
2020-04-30,6.74%
2020-03-31,-20.52%
2020-02-28,-4.63%
2020-01-31,-5.18%
2019-12-31,3.08%
2019-11-29,-0.95%
2019-10-31,4.78%
2019-09-30,1.58%
2019-08-30,-5.50%
2019-07-31,-2.15%
2019-06-28,10.12%
2019-05-31,-9.15%
2019-04-30,5.94%
2019-03-29,1.11%
2019-02-28,-0.38%
2019-01-31,6.61%
2018-12-31,-1.68%
2018-11-30,3.10%
2018-10-31,-8.36%
2018-09-28,1.97%
2018-08-31,-2.54%
2018-07-31,1.79%
2018-06-29,-7.39%
2018-05-31,-5.13%
2018-04-30,4.46%
2018-03-29,-0.07%
2018-02-28,-3.02%
2018-01-31,6.13%
2017-12-29,0.50%
2017-11-30,3.56%
2017-10-31,4.50%
2017-09-29,-1.33%
2017-08-31,-0.36%
2017-07-31,5.21%
2017-06-30,0.79%
2017-05-31,3.09%
2017-04-28,0.75%
2017-03-31,2.20%
2017-02-28,2.53%
2017-01-31,9.23%
2016-12-30,-2.18%
2016-11-30,1.69%
2016-10-31,-4.70%
2016-09-30,2.55%
2016-08-31,-3.02%
2016-07-29,0.46%
2016-06-30,4.93%
2016-05-31,-4.14%
2016-04-29,0.09%
2016-03-31,11.96%
2016-02-29,3.30%
2016-01-29,-8.66%
2015-12-31,0.21%
2015-11-30,-5.49%
2015-10-30,9.34%
2015-09-30,-3.88%
2015-08-31,-12.13%
2015-07-31,-4.22%
2015-06-30,-1.01%
2015-05-29,-5.85%
2015-04-30,6.88%
2015-03-31,-0.16%
2015-02-27,0.39%
2015-01-30,-2.37%
2014-12-31,-0.62%
2014-11-28,1.06%
2014-10-31,-0.52%
2014-09-30,-4.44%
2014-08-29,-0.71%
2014-07-31,3.99%
2014-06-30,-1.08%
2014-05-30,1.84%
2014-04-30,4.21%
2014-03-31,3.08%
2014-02-28,3.68%
2014-01-31,-7.21%
2013-12-31,-1.11%
2013-11-29,-1.67%
2013-10-31,3.45%
2013-09-30,7.66%
2013-08-30,-6.91%
2013-07-31,4.14%
2013-06-28,-3.72%
2013-05-31,-6.30%
2013-04-30,3.44%
2013-03-28,2.20%
2013-02-28,-0.80%
2013-01-31,0.58%
2012-12-31,3.74%
2012-11-30,1.42%
2012-10-31,-0.52%
2012-09-28,2.13%
2012-08-31,-0.08%
2012-07-31,6.66%
2012-06-29,7.43%
2012-05-31,-10.38%
2012-04-30,0.85%
2012-03-30,0.00%
2012-02-29,4.12%
2012-01-31,14.31%
2011-12-30,-5.63%
2011-11-30,-3.92%
2011-10-31,11.36%
