Date,SIE.DE_Monthly_Return
2012-12-28,3.66%
2012-11-30,2.27%
2012-10-31,-0.09%
2012-09-28,2.90%
2012-08-31,9.15%
2012-07-31,4.48%
2012-06-29,-0.56%
2012-05-31,-4.94%
2012-04-30,-7.43%
2012-03-30,0.98%
2012-02-29,3.77%
2012-01-31,1.75%
2011-12-30,-1.40%
2011-11-30,-1.61%
2011-10-31,11.89%
2011-09-30,-5.23%
2011-08-31,-19.58%
2011-07-29,-5.62%
2011-06-30,1.83%
2011-05-31,-5.31%
2011-04-29,1.56%
2011-03-31,-0.90%
2011-02-28,4.23%
2011-01-31,4.01%
2010-12-30,9.98%
2010-11-30,2.69%
2010-10-29,6.01%
2010-09-30,7.87%
2010-08-31,-4.02%
2010-07-30,1.04%
2010-06-30,0.00%
2010-05-31,-0.43%
2010-04-30,0.26%
2010-03-31,17.72%
2010-02-26,-2.23%
2010-01-29,3.85%
2009-12-30,-1.61%
2009-11-30,6.17%
2009-10-30,-2.86%
2009-09-30,4.68%
2009-08-31,7.95%
2009-07-31,13.91%
2009-06-30,-4.43%
2009-05-29,0.80%
2009-04-30,18.65%
2009-03-31,6.65%
2009-02-27,-8.30%
2009-01-30,-13.38%
2008-12-30,11.92%
2008-11-28,1.31%
2008-10-31,-29.34%
2008-09-30,-11.46%
2008-08-29,-5.71%
2008-07-31,11.68%
2008-06-30,-3.29%
2008-05-30,-3.51%
2008-04-30,10.08%
2008-03-31,-19.63%
2008-02-29,-0.88%
2008-01-31,-19.32%
2007-12-28,4.96%
2007-11-30,10.67%
2007-10-31,-2.80%
2007-09-28,4.59%
2007-08-31,-1.47%
2007-07-31,-12.20%
2007-06-29,8.81%
2007-05-31,9.80%
2007-04-30,11.47%
2007-03-30,0.34%
2007-02-28,-5.63%
2007-01-31,14.46%
2006-12-29,4.55%
2006-11-30,1.94%
2006-10-31,2.47%
2006-09-29,3.96%
2006-08-31,4.86%
2006-07-31,-7.23%
2006-06-30,1.36%
2006-05-31,-10.51%
2006-04-28,-2.65%
2006-03-31,0.05%
2006-02-28,2.58%
2006-01-31,5.60%
2005-12-30,12.53%
2005-11-30,3.67%
2005-10-31,-3.18%
2005-09-30,4.16%
2005-08-31,-3.32%
2005-07-29,5.49%
2005-06-30,1.67%
2005-05-31,4.80%
2005-04-29,-7.24%
2005-03-31,3.07%
2005-02-28,-2.65%
2005-01-31,-0.40%
2004-12-31,3.54%
2004-11-30,3.26%
2004-10-29,-1.45%
2004-09-30,5.30%
2004-08-31,-3.57%
2004-07-30,-1.35%
2004-06-30,1.83%
2004-05-31,-3.65%
2004-04-30,0.30%
2004-03-31,-3.19%
2004-02-27,-4.52%
2004-01-30,4.13%
2003-12-31,4.34%
2003-11-28,4.93%
2003-10-31,13.41%
2003-09-30,-9.33%
2003-08-29,12.13%
2003-07-31,17.74%
2003-06-30,6.00%
2003-05-30,-9.78%
2003-04-30,18.17%
2003-03-31,2.77%
2003-02-28,-3.59%
2003-01-31,-2.06%
