Date,SIEGY_Monthly_Return
30/09/2021,-0.75%
31/08/2021,5.95%
30/07/2021,-1.92%
30/06/2021,-2.95%
28/05/2021,-1.56%
30/04/2021,1.29%
31/03/2021,6.19%
26/02/2021,2.95%
29/01/2021,7.74%
31/12/2020,7.52%
30/11/2020,3.79%
30/10/2020,-7.64%
30/09/2020,0.32%
31/08/2020,9.18%
31/07/2020,7.80%
30/06/2020,7.25%
29/05/2020,19.15%
30/04/2020,9.90%
31/03/2020,-18.27%
28/02/2020,-12.94%
31/01/2020,-5.28%
31/12/2019,0.82%
29/11/2019,11.62%
31/10/2019,7.73%
30/09/2019,7.37%
30/08/2019,-8.76%
31/07/2019,-8.31%
28/06/2019,5.11%
31/05/2019,-5.40%
30/04/2019,11.63%
29/03/2019,-1.54%
28/02/2019,-0.51%
31/01/2019,1.68%
31/12/2018,-3.38%
30/11/2018,1.04%
31/10/2018,-10.05%
28/09/2018,-1.47%
31/08/2018,-8.31%
31/07/2018,7.27%
29/06/2018,0.92%
31/05/2018,2.92%
30/04/2018,-0.75%
29/03/2018,-3.12%
28/02/2018,-10.61%
31/01/2018,10.08%
29/12/2017,1.84%
30/11/2017,-5.55%
31/10/2017,1.80%
29/09/2017,7.88%
31/08/2017,-3.30%
31/07/2017,-1.92%
30/06/2017,-3.31%
31/05/2017,-0.26%
28/04/2017,4.69%
31/03/2017,5.38%
28/02/2017,2.90%
31/01/2017,6.17%
30/12/2016,8.71%
30/11/2016,-0.92%
31/10/2016,-3.13%
30/09/2016,-1.89%
31/08/2016,10.17%
29/07/2016,5.80%
30/06/2016,-4.89%
31/05/2016,2.94%
29/04/2016,-0.96%
31/03/2016,14.25%
29/02/2016,-3.46%
29/01/2016,3.63%
31/12/2015,-7.65%
30/11/2015,3.56%
30/10/2015,12.62%
30/09/2015,-9.93%
31/08/2015,-7.41%
31/07/2015,5.46%
30/06/2015,-3.58%
29/05/2015,-3.21%
30/04/2015,0.55%
31/03/2015,-3.06%
27/02/2015,6.72%
30/01/2015,-3.27%
31/12/2014,-5.08%
28/11/2014,4.67%
31/10/2014,-5.32%
30/09/2014,-4.97%
29/08/2014,1.44%
31/07/2014,-6.56%
30/06/2014,-0.55%
30/05/2014,0.83%
30/04/2014,-2.46%
31/03/2014,1.52%
28/02/2014,5.42%
31/01/2014,-5.87%
31/12/2013,4.84%
29/11/2013,3.21%
31/10/2013,6.22%
30/09/2013,13.52%
30/08/2013,-3.89%
31/07/2013,12.05%
28/06/2013,-3.61%
31/05/2013,0.56%
30/04/2013,-3.05%
28/03/2013,3.87%
28/02/2013,-5.24%
31/01/2013,3.60%
31/12/2012,5.77%
30/11/2012,2.57%
31/10/2012,0.76%
28/09/2012,6.23%
31/08/2012,11.32%
31/07/2012,0.74%
29/06/2012,1.78%
31/05/2012,-11.06%
30/04/2012,-7.90%
30/03/2012,1.13%
29/02/2012,5.75%
31/01/2012,2.84%
30/12/2011,-5.72%
30/11/2011,-3.39%
31/10/2011,16.91%
