Date,SPY_Monthly_Return
2021-09-30,-4.65%
2021-08-31,2.98%
2021-07-30,2.44%
2021-06-30,2.24%
2021-05-28,0.66%
2021-04-30,5.29%
2021-03-31,4.53%
2021-02-26,2.78%
2021-01-29,-1.02%
2020-12-31,3.70%
2020-11-30,10.88%
2020-10-30,-2.49%
2020-09-30,-3.74%
2020-08-31,6.98%
2020-07-31,5.89%
2020-06-30,1.78%
2020-05-29,4.76%
2020-04-30,12.70%
2020-03-31,-12.52%
2020-02-28,-7.92%
2020-01-31,-0.04%
2019-12-31,2.90%
2019-11-29,3.62%
2019-10-31,2.21%
2019-09-30,1.95%
2019-08-30,-1.67%
2019-07-31,1.51%
2019-06-28,6.96%
2019-05-31,-6.38%
2019-04-30,4.09%
2019-03-29,1.81%
2019-02-28,3.24%
2019-01-31,8.01%
2018-12-31,-8.81%
2018-11-30,1.85%
2018-10-31,-6.91%
2018-09-28,0.60%
2018-08-31,3.19%
2018-07-31,3.70%
2018-06-29,0.59%
2018-05-31,2.43%
2018-04-30,0.52%
2018-03-29,-2.73%
2018-02-28,-3.64%
2018-01-31,5.64%
2017-12-29,1.21%
2017-11-30,3.06%
2017-10-31,2.36%
2017-09-29,2.01%
2017-08-31,0.29%
2017-07-31,2.06%
2017-06-30,0.64%
2017-05-31,1.41%
2017-04-28,0.99%
2017-03-31,0.13%
2017-02-28,3.93%
2017-01-31,1.79%
2016-12-30,2.03%
2016-11-30,3.68%
2016-10-31,-1.73%
2016-09-30,0.00%
2016-08-31,0.12%
2016-07-29,3.65%
2016-06-30,0.34%
2016-05-31,1.70%
2016-04-29,0.39%
2016-03-31,6.72%
2016-02-29,-0.08%
2016-01-29,-4.98%
2015-12-31,-1.73%
2015-11-30,0.37%
2015-10-30,8.51%
2015-09-30,-2.53%
2015-08-31,-6.10%
2015-07-31,2.26%
2015-06-30,-2.02%
2015-05-29,1.29%
2015-04-30,0.98%
2015-03-31,-1.57%
2015-02-27,5.62%
2015-01-30,-2.96%
2014-12-31,-0.25%
2014-11-28,2.75%
2014-10-31,2.36%
2014-09-30,-1.37%
2014-08-29,3.95%
2014-07-31,-1.34%
2014-06-30,2.06%
2014-05-30,2.32%
2014-04-30,0.70%
2014-03-31,0.83%
2014-02-28,4.55%
2014-01-31,-3.52%
2013-12-31,2.58%
2013-11-29,2.96%
2013-10-31,4.63%
2013-09-30,3.18%
2013-08-30,-3.00%
2013-07-31,5.17%
2013-06-28,-1.34%
2013-05-31,2.36%
2013-04-30,1.92%
2013-03-28,3.80%
2013-02-28,1.28%
2013-01-31,5.12%
2012-12-31,0.90%
2012-11-30,0.57%
2012-10-31,-1.82%
2012-09-28,2.54%
2012-08-31,2.51%
2012-07-31,1.18%
2012-06-29,4.05%
2012-05-31,-6.01%
2012-04-30,-0.67%
2012-03-30,3.21%
2012-02-29,4.34%
2012-01-31,4.64%
2011-12-30,1.02%
2011-11-30,-0.41%
2011-10-31,10.91%
