Date,TV_Monthly_Return
30/09/2021,-16.37%
31/08/2021,-3.10%
30/07/2021,-5.11%
30/06/2021,10.10%
28/05/2021,5.48%
30/04/2021,39.73%
31/03/2021,19.57%
26/02/2021,-1.33%
29/01/2021,-8.86%
31/12/2020,2.74%
30/11/2020,26.10%
30/10/2020,2.91%
30/09/2020,-0.64%
31/08/2020,11.27%
31/07/2020,6.68%
30/06/2020,-11.19%
29/05/2020,10.28%
30/04/2020,-7.76%
31/03/2020,-38.30%
28/02/2020,-15.47%
31/01/2020,-5.20%
31/12/2019,6.93%
29/11/2019,-0.72%
31/10/2019,12.99%
30/09/2019,10.63%
30/08/2019,-7.05%
31/07/2019,12.68%
28/06/2019,-9.15%
31/05/2019,-7.48%
30/04/2019,-8.32%
29/03/2019,-5.31%
28/02/2019,-6.63%
31/01/2019,-0.56%
31/12/2018,-7.84%
30/11/2018,-5.08%
31/10/2018,-18.94%
28/09/2018,-1.50%
31/08/2018,-9.41%
31/07/2018,4.91%
29/06/2018,13.07%
31/05/2018,-5.98%
30/04/2018,12.28%
29/03/2018,-6.17%
28/02/2018,-17.83%
31/01/2018,10.87%
29/12/2017,0.05%
30/11/2017,-14.76%
31/10/2017,-11.27%
29/09/2017,-4.49%
31/08/2017,-2.97%
31/07/2017,9.23%
30/06/2017,0.37%
31/05/2017,0.30%
28/04/2017,-6.32%
31/03/2017,1.69%
28/02/2017,13.88%
31/01/2017,7.23%
30/12/2016,0.58%
30/11/2016,-15.33%
31/10/2016,-4.52%
30/09/2016,-6.00%
31/08/2016,2.86%
29/07/2016,2.04%
30/06/2016,-2.62%
31/05/2016,-8.19%
29/04/2016,6.45%
31/03/2016,6.85%
29/02/2016,-2.95%
29/01/2016,-2.68%
31/12/2015,-3.51%
30/11/2015,-3.23%
30/10/2015,11.99%
30/09/2015,-14.86%
31/08/2015,-12.34%
31/07/2015,-10.20%
30/06/2015,2.56%
29/05/2015,4.27%
30/04/2015,10.30%
31/03/2015,-3.25%
27/02/2015,4.63%
30/01/2015,-4.26%
31/12/2014,-8.81%
28/11/2014,3.35%
31/10/2014,6.67%
30/09/2014,-8.61%
29/08/2014,4.16%
31/07/2014,3.73%
30/06/2014,1.51%
30/05/2014,3.02%
30/04/2014,-1.44%
31/03/2014,13.19%
28/02/2014,1.20%
31/01/2014,-3.97%
31/12/2013,-0.38%
29/11/2013,0.23%
31/10/2013,8.91%
30/09/2013,11.13%
30/08/2013,-7.20%
31/07/2013,9.10%
28/06/2013,-4.75%
31/05/2013,3.56%
30/04/2013,-4.85%
28/03/2013,-0.82%
28/02/2013,-4.21%
31/01/2013,5.38%
31/12/2012,12.29%
30/11/2012,4.73%
31/10/2012,-3.87%
28/09/2012,2.31%
31/08/2012,0.83%
31/07/2012,6.10%
29/06/2012,13.11%
31/05/2012,-12.99%
30/04/2012,4.22%
30/03/2012,-1.17%
29/02/2012,8.16%
31/01/2012,-6.36%
30/12/2011,1.45%
30/11/2011,-2.67%
31/10/2011,15.99%
